seed,alpha,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
5,0.2,0.7522123893805309,0.5406005382537842,0.1115044247787611,0.8,0.5479620099067688,0.7105263157894737,0.5027744770050049,0.72,0.5833731889724731
6,0.05,0.9380530973451328,0.8824112415313721,0.056194690265486714,0.94,0.8913258910179138,0.9210526315789473,0.8087979555130005,0.96,0.9764742255210876
6,0.1,0.9292035398230089,0.8338677287101746,0.07699115044247785,0.92,0.8056768178939819,0.9210526315789473,0.7875505685806274,0.96,0.9606515765190125
6,0.15,0.8938053097345132,0.7200561761856079,0.07743362831858405,0.9,0.7049124240875244,0.8421052631578947,0.5936764478683472,0.96,0.9424411654472351
6,0.2,0.8141592920353983,0.5880665183067322,0.08495575221238935,0.84,0.5950105786323547,0.7105263157894737,0.4403400421142578,0.92,0.7987227439880371
7,0.05,0.9911504424778761,1.2348512411117554,0.04823008849557526,0.98,1.2273796796798706,1.0,1.0204720497131348,1.0,1.5756502151489258
7,0.1,0.8761061946902655,0.7292012572288513,0.10884955752212387,0.76,0.6833043098449707,0.9473684210526315,0.7356365323066711,1.0,0.8112139701843262
7,0.15,0.7964601769911505,0.6246682405471802,0.16327433628318588,0.64,0.5356888771057129,0.8947368421052632,0.6460140347480774,0.96,0.77018141746521
7,0.2,0.7256637168141593,0.5174630284309387,0.12743362831858407,0.64,0.4850527048110962,0.7631578947368421,0.5371721386909485,0.84,0.552325963973999
8,0.05,0.9823008849557522,0.9018183946609497,0.04734513274336286,1.0,1.0050944089889526,0.9736842105263158,0.8068807125091553,0.96,0.8395715355873108
8,0.1,0.9646017699115044,0.7682027816772461,0.0805309734513274,0.98,0.8041682243347168,0.9736842105263158,0.6933115124702454,0.92,0.810106635093689
8,0.15,0.911504424778761,0.6755978465080261,0.09247787610619469,0.92,0.6763722896575928,0.9473684210526315,0.6370673775672913,0.84,0.7326155304908752
8,0.2,0.8849557522123894,0.606013834476471,0.1168141592920354,0.92,0.6491045355796814,0.9473684210526315,0.5462543368339539,0.72,0.6106669306755066
9,0.05,0.8761061946902655,0.7830083966255188,0.10398230088495573,0.76,0.6499139666557312,0.9736842105263158,0.997694730758667,0.96,0.7228744626045227
9,0.1,0.8672566371681416,0.696982204914093,0.09823008849557521,0.76,0.5973033905029297,0.9736842105263158,0.8454936146736145,0.92,0.6706024408340454
9,0.15,0.8495575221238938,0.6251593828201294,0.08716814159292034,0.76,0.5471031069755554,0.9473684210526315,0.7498732209205627,0.88,0.5917070508003235
9,0.2,0.7433628318584071,0.5022134780883789,0.14513274336283188,0.62,0.41150662302970886,0.868421052631579,0.6237603425979614,0.8,0.4988759160041809
10,0.05,0.9734513274336283,1.0643476247787476,0.05530973451327437,0.94,0.9707109332084656,1.0,1.1354453563690186,1.0,1.1435526609420776
10,0.1,0.9292035398230089,0.8848845958709717,0.059292035398230074,0.88,0.7664685249328613,0.9473684210526315,0.8894984722137451,1.0,1.1147037744522095
10,0.15,0.8849557522123894,0.7354668974876404,0.07477876106194689,0.82,0.688892662525177,0.9210526315789473,0.712046205997467,0.96,0.8642147183418274
10,0.2,0.8584070796460177,0.6124556660652161,0.09734513274336283,0.78,0.5670451521873474,0.8947368421052632,0.6496726274490356,0.96,0.6467072367668152
11,0.05,0.9646017699115044,0.9432689547538757,0.046460176991150466,1.0,1.0833839178085327,0.9473684210526315,0.7826374769210815,0.92,0.9071988463401794
11,0.1,0.9469026548672567,0.8314914703369141,0.05221238938053095,0.98,0.908324658870697,0.9473684210526315,0.7432520389556885,0.88,0.8119493722915649
11,0.15,0.8584070796460177,0.6237109899520874,0.09513274336283184,0.86,0.6209536790847778,0.9473684210526315,0.6601682305335999,0.72,0.5738107562065125
11,0.2,0.7699115044247787,0.5121942162513733,0.1150442477876106,0.74,0.5003805756568909,0.8947368421052632,0.5846073031425476,0.64,0.4257538616657257
12,0.05,0.9823008849557522,0.9897617101669312,0.04823008849557525,0.96,0.8650314807891846,1.0,1.1871534585952759,1.0,0.9391869902610779
12,0.1,0.9380530973451328,0.6661309003829956,0.03805309734513269,0.94,0.619153618812561,0.9473684210526315,0.6649236083030701,0.92,0.7619205713272095
12,0.15,0.9026548672566371,0.6130164265632629,0.06504424778761059,0.9,0.5781539678573608,0.8947368421052632,0.601513147354126,0.92,0.7002263069152832
12,0.2,0.8053097345132744,0.5157899260520935,0.09026548672566367,0.88,0.526526689529419,0.6842105263157895,0.4887300431728363,0.84,0.5354474782943726
13,0.05,0.9469026548672567,1.096116542816162,0.06327433628318584,0.96,1.1776626110076904,0.9210526315789473,0.820160448551178,0.96,1.3524779081344604
13,0.1,0.8938053097345132,0.8589008450508118,0.02566371681415924,0.88,0.9201700687408447,0.8947368421052632,0.6655917167663574,0.92,1.0301917791366577
13,0.15,0.8938053097345132,0.8092780113220215,0.06061946902654864,0.88,0.8297295570373535,0.8947368421052632,0.6496459245681763,0.92,1.0110158920288086
13,0.2,0.8053097345132744,0.6149550080299377,0.07256637168141593,0.76,0.5507405996322632,0.8421052631578947,0.5257606506347656,0.84,0.8789591193199158
14,0.05,0.9823008849557522,0.9290502071380615,0.04823008849557525,0.98,0.9036006927490234,0.9736842105263158,0.8465231657028198,1.0,1.1053905487060547
14,0.1,0.9380530973451328,0.7821817398071289,0.0805309734513274,0.96,0.8055021166801453,0.8947368421052632,0.7055920958518982,0.96,0.851957380771637
14,0.15,0.8761061946902655,0.6372199058532715,0.10132743362831857,0.96,0.7509558200836182,0.7631578947368421,0.5110116600990295,0.88,0.6015850305557251
14,0.2,0.8141592920353983,0.5409875512123108,0.07079646017699114,0.86,0.5792518258094788,0.7368421052631579,0.4941740930080414,0.84,0.5356154441833496
15,0.05,0.9646017699115044,0.9034259915351868,0.04823008849557524,0.96,0.9605163335800171,1.0,0.8584974408149719,0.92,0.8575368523597717
15,0.1,0.8938053097345132,0.7438671588897705,0.07522123893805308,0.94,0.8582820296287537,0.9210526315789473,0.6932337284088135,0.76,0.5920004844665527
15,0.15,0.8761061946902655,0.6780872941017151,0.0898230088495575,0.92,0.7189341187477112,0.9210526315789473,0.6894263029098511,0.72,0.5791581869125366
15,0.2,0.8495575221238938,0.6049697995185852,0.10265486725663714,0.9,0.6184203624725342,0.868421052631579,0.6203882098197937,0.72,0.5546325445175171
16,0.05,0.9557522123893806,1.049316644668579,0.06504424778761064,0.94,0.9516295790672302,1.0,1.3362011909484863,0.92,0.8086264133453369
16,0.1,0.9203539823008849,0.8697296977043152,0.06814159292035396,0.92,0.854526698589325,0.9473684210526315,1.0402179956436157,0.88,0.6409933567047119
16,0.15,0.8849557522123894,0.7017061114311218,0.09601769911504424,0.9,0.7770047783851624,0.9210526315789473,0.7190566062927246,0.8,0.5247361063957214
16,0.2,0.8672566371681416,0.6204357147216797,0.12743362831858404,0.9,0.7217401266098022,0.868421052631579,0.5896214246749878,0.8,0.46466487646102905
17,0.05,0.9734513274336283,0.9390456676483154,0.04026548672566374,0.96,0.9121074676513672,0.9736842105263158,0.832091212272644,1.0,1.1554925441741943
17,0.1,0.911504424778761,0.7328094840049744,0.07522123893805308,0.88,0.7065434455871582,0.9736842105263158,0.7950948476791382,0.88,0.6906678080558777
17,0.15,0.8938053097345132,0.6687580347061157,0.10663716814159292,0.86,0.6746179461479187,0.9736842105263158,0.7011978626251221,0.84,0.6077292561531067
