seed,lambda,marginal_cov,mean_width,ece,cov_power,width_power,cov_water,width_water,cov_telecom,width_telecom
15,1.0,0.9380530973451328,0.7954277992248535,0.0716814159292035,0.94,0.7486317157745361,0.9736842105263158,0.9286842346191406,0.88,0.6864699721336365
16,0.0,0.9203539823008849,0.8330289721488953,0.06106194690265487,0.92,0.7854526042938232,0.9736842105263158,1.0727930068969727,0.84,0.5637401342391968
16,0.1,0.9203539823008849,0.8316569328308105,0.07876106194690263,0.92,0.7818848490715027,0.9736842105263158,1.0727252960205078,0.84,0.5647771954536438
16,0.3,0.9203539823008849,0.8290135264396667,0.07876106194690263,0.92,0.7750033736228943,0.9736842105263158,1.072594404220581,0.84,0.5667905807495117
16,0.5,0.9203539823008849,0.8264966011047363,0.06460176991150442,0.92,0.7684420943260193,0.9736842105263158,1.0724695920944214,0.84,0.568726658821106
16,1.0,0.9203539823008849,0.8228368163108826,0.07876106194690263,0.92,0.7581250071525574,0.9736842105263158,1.0721811056137085,0.84,0.5732569694519043
17,0.0,0.9911504424778761,0.9345058798789978,0.09115044247787607,1.0,1.0137015581130981,1.0,0.8692865967750549,0.96,0.8752479553222656
17,0.1,0.9911504424778761,0.9202791452407837,0.09115044247787607,1.0,0.9801038503646851,1.0,0.8698865175247192,0.96,0.8772266507148743
17,0.3,0.9823008849557522,0.8930785059928894,0.08230088495575219,0.98,0.9158550500869751,1.0,0.871035635471344,0.96,0.8810308575630188
17,0.5,0.9823008849557522,0.8700740337371826,0.0823008849557522,0.98,0.8612330555915833,1.0,0.8721216917037964,0.96,0.8846433162689209
17,1.0,0.9734513274336283,0.8575592637062073,0.07345132743362828,0.96,0.826930820941925,1.0,0.8745927214622498,0.96,0.8929253220558167
18,0.0,0.8761061946902655,0.8332703709602356,0.07345132743362831,0.84,0.8581355214118958,0.8421052631578947,0.5951597094535828,1.0,1.1454682350158691
18,0.1,0.8761061946902655,0.8234483003616333,0.10884955752212386,0.84,0.8348945379257202,0.8421052631578947,0.5949060320854187,1.0,1.1479401588439941
18,0.3,0.8761061946902655,0.809910774230957,0.10884955752212386,0.84,0.800372302532196,0.8421052631578947,0.5969382524490356,1.0,1.152706265449524
18,0.5,0.8761061946902655,0.8069902062416077,0.10884955752212389,0.84,0.7879123091697693,0.8421052631578947,0.601659893989563,1.0,1.1572480201721191
18,1.0,0.8584070796460177,0.7980214953422546,0.12300884955752213,0.82,0.7626433372497559,0.8157894736842105,0.6013485789299011,1.0,1.1677207946777344
19,0.0,0.9380530973451328,0.7502219080924988,0.057522123893805274,0.94,0.7131845951080322,0.8947368421052632,0.6342472434043884,1.0,1.0005779266357422
19,0.1,0.9292035398230089,0.7481347322463989,0.043362831858407044,0.92,0.7085294127464294,0.8947368421052632,0.6333476901054382,1.0,1.001821756362915
19,0.3,0.9380530973451328,0.7472137808799744,0.06283185840707961,0.94,0.7065563797950745,0.8947368421052632,0.6316238641738892,1.0,1.0042251348495483
19,0.5,0.9380530973451328,0.752470076084137,0.06283185840707961,0.94,0.7185251712799072,0.8947368421052632,0.6299943327903748,1.0,1.0065232515335083
19,1.0,0.9380530973451328,0.7656401991844177,0.06283185840707961,0.94,0.7484469413757324,0.8947368421052632,0.6262833476066589,1.0,1.0118491649627686
