dgp,n,replication,estimator,estimate,se,ci_low,ci_high,covered,true_effect
nonlinear_outcome,200,8,DR,1.97931487792835,0.13249999728438464,2.0775429160055032,2.0896791859940986,False,2.0
nonlinear_outcome,200,8,CrossFitDR,1.9759202488342504,0.13979461897981096,2.0244995354066644,2.0753653513642503,False,2.0
nonlinear_outcome,200,8,FlexibleDR,1.9975847363640367,0.10724672311854061,1.9367158023499775,1.9601564904661974,False,2.0
nonlinear_outcome,200,9,Regression,1.8231536957345307,0.12275318995800821,1.7310346723847974,2.042336377994853,True,2.0
nonlinear_outcome,200,9,Matching,1.7230012961332528,0.14254423258618112,1.6630793495461675,1.9862511601530852,False,2.0
nonlinear_outcome,200,9,IPW,1.8552807685889616,0.23475252346240955,1.75100847139579,2.080781069659035,True,2.0
nonlinear_outcome,200,9,DR,1.8281021363241856,0.1485360424925823,1.73295353735315,2.0786350733955046,True,2.0
nonlinear_outcome,200,9,CrossFitDR,1.7941363352126982,0.15510487661509026,1.7298399508291902,2.169081158923288,True,2.0
nonlinear_outcome,200,9,FlexibleDR,2.0807701297724606,0.09888537565510457,1.8544765702115646,2.131856027072353,True,2.0
nonlinear_propensity,200,0,Regression,2.2048650797377403,0.14447542722740653,2.0741738950669593,2.3707588613626647,False,2.0
nonlinear_propensity,200,0,Matching,2.2171375718715547,0.19393868199542535,1.9702768249212688,2.534058203532862,True,2.0
nonlinear_propensity,200,0,IPW,2.2152260972698596,0.3038674954714332,2.1077111302098177,2.3742493701566447,False,2.0
nonlinear_propensity,200,0,DR,2.2066217870940594,0.14306369904639238,2.082737500031209,2.3645746039464037,False,2.0
nonlinear_propensity,200,0,CrossFitDR,2.1892034669158758,0.14771434589172175,2.1074164198685867,2.3838384708551716,False,2.0
nonlinear_propensity,200,0,FlexibleDR,2.3161420118220133,0.16341592118383785,2.0813905614705854,2.433093982024094,False,2.0
nonlinear_propensity,200,1,Regression,2.1783994453415554,0.14806975155323293,1.9894561850189627,2.458693897039513,True,2.0
nonlinear_propensity,200,1,Matching,2.348777117425824,0.2031910363589328,2.1552968122065064,2.6040798276762525,False,2.0
nonlinear_propensity,200,1,IPW,2.1576193617493544,0.3387847788504645,1.971976290288547,2.43861033496302,True,2.0
nonlinear_propensity,200,1,DR,2.171092324988428,0.14442501630827861,1.9802511512914966,2.4432204844332426,True,2.0
nonlinear_propensity,200,1,CrossFitDR,2.1501878268785832,0.15161721098574873,1.979736877874552,2.4392571494576054,True,2.0
nonlinear_propensity,200,1,FlexibleDR,2.1135677380752633,0.164822640579791,1.9536452421904325,2.3665701736044067,True,2.0
nonlinear_propensity,200,2,Regression,1.9414157747618064,0.13393516812837739,2.042243500888796,2.085838498187844,False,2.0
nonlinear_propensity,200,2,Matching,1.7391693590298278,0.15109384987825966,1.7886272667960474,2.1404796641360107,True,2.0
nonlinear_propensity,200,2,IPW,1.943210521833899,0.32841892027657826,2.063328646188391,2.0736606570621667,False,2.0
nonlinear_propensity,200,2,DR,1.9338245556605318,0.13056651609013176,2.017480850309394,2.0831202780094045,False,2.0
nonlinear_propensity,200,2,CrossFitDR,1.9559197226727612,0.13441586433090355,2.014695053075799,2.073492521134505,False,2.0
nonlinear_propensity,200,2,FlexibleDR,2.0303737787095066,0.15479736442780243,1.912860136022265,2.1131734912664952,True,2.0
nonlinear_propensity,200,3,Regression,2.0575948481387893,0.15178274681020934,1.895487286602115,2.0698376865951533,True,2.0
nonlinear_propensity,200,3,Matching,2.0225181321893624,0.19786634959308502,1.8510041966538637,1.980997254668939,False,2.0
nonlinear_propensity,200,3,IPW,2.067852281234189,0.33870650894391546,1.8981602919456484,2.08477796418059,True,2.0
nonlinear_propensity,200,3,DR,2.0719558098746593,0.14598558422144178,1.9118764897634646,2.0784195627011433,True,2.0
nonlinear_propensity,200,3,CrossFitDR,2.0726176728156487,0.1518322049884771,1.8901119854508193,2.0706867982702226,True,2.0
nonlinear_propensity,200,3,FlexibleDR,2.0091713829817426,0.17124347591888467,2.0852538844723907,2.1519014171361053,False,2.0
nonlinear_propensity,200,4,Regression,2.042309895363767,0.13994177033898966,1.8908586895499748,1.9966698392657813,False,2.0
nonlinear_propensity,200,4,Matching,1.9916479418981392,0.17738132989745253,1.8249903525933369,1.949514900700175,False,2.0
nonlinear_propensity,200,4,IPW,2.042587105203447,0.33586289493258575,1.8942912545109647,1.995252289572158,False,2.0
nonlinear_propensity,200,4,DR,2.041453768958068,0.13902454560508576,1.8813768297871767,1.9895285589773206,False,2.0
nonlinear_propensity,200,4,CrossFitDR,2.0325826040257233,0.14579418719916828,1.8938910873051964,2.006466030583795,True,2.0
nonlinear_propensity,200,4,FlexibleDR,1.8795004507657824,0.15946047528737042,1.6877798377115674,1.884618320304099,False,2.0
nonlinear_propensity,200,5,Regression,1.9341360979929028,0.14121581876285288,1.8017178462306855,2.1503826651096607,True,2.0
nonlinear_propensity,200,5,Matching,1.8643116586120703,0.1673251652445761,1.7217804862286197,1.8846708957073304,False,2.0
nonlinear_propensity,200,5,IPW,1.9458329209793181,0.35546707388495447,1.8308475799393988,2.1330827019568646,True,2.0
nonlinear_propensity,200,5,DR,1.941425608409026,0.14062771523123743,1.8160219527800736,2.148486822132999,True,2.0
nonlinear_propensity,200,5,CrossFitDR,1.962956615716144,0.1479835496478523,1.8238317392265553,2.125641981747508,True,2.0
